BILLA Bravčová šunka 100g,1.59 €
BILLA Kuracia šunka 100g,1.59 €
BILLA Morčacia šunka 100g,1.59 €
BILLA Debrecínska pečienka 150g,2.89 €
BILLA Vidiecka šunka 100g,1.59 €
Billa Toastová Šunka 100G,1.59 €
BILLA Extra jemná saláma 100g,1.89 €
BILLA Prosciutto crudo 90g,1.99 €
BILLA Schwarzwaldská šunka 100g,1.55 €
BILLA Jamón serrano 80g,1.99 €
Berger Wellness bravčová šunka 100 g,2.45 €
Berger Morčacia šunka - plátky 100 g,2.45 €
Berger Jemná saláma 150g,2.59 €
Berger Jemná saláma 500g,4.59 €
Berger Kuracia šunka 100g,2.45 €
Berger Pečená šunka 100g,2.45 €
Berger Tradičná bravčová šunka 100 g,2.45 €
Berger Wellness jemná saláma 100g,1.89 €
Le & Co Pražská šunka 100g,1.69 €
Le & Co Morčacia šunka 100g,1.69 €
Le & Co Šunka špeciál 100g,1.69 €
Le & Co Šunka dusená v pare 100g,1.69 €
Le & Co Šunka pre deti krájaná 100 g,1.69 €
KURACIA ŠUNKA 200G LECO,2.59 €
Tauris Zipser šunka orginál 250g,3.59 €
Mäsokombinát Púchov Sľub pioniera dusená šunka 100g,1.59 €
Mortadella Bologna I.G.P. 150g,2.49 €
Berto Karpaty šunka 100 g,2.09 €
Clever Šunková saláma 100g,0.99 €
Clever Bravčová šunka 100g,0.93 €
Clever Lyonská saláma 200g,1.29 €
Cesnakový bok 250g,2.79 €
Berger Pikantná saláma 150g,2.59 €
Medvedík mortadella 90g,1.79 €
Berto Macík jemná saláma 90g,2.49 €
Berger Wellness sekaná 100g,1.69 €
BILLA Lovecká saláma 75g,1.49 €
BILLA Pikador saláma 75g,1.49 €
BILLA Salame Campagnolo saláma 100g,3.19 €
BILLA Salame Milano 120g,3.29 €
Billa Malokarpatská saláma 75g Krahulík,1.49 €
Billa Nitran saláma 75g Krahulík,1.49 €
Nitran Saláma bez chémie 100g,1.69 €
Nitran Saláma 75g,2.29 €
Malokarpatská saláma 75g,2.29 €
Tauris Toreador saláma 75 g,2.19 €
Pick Zimná saláma krájaná 70 g,3.29 €
Kmotr Paprikáš saláma 75g,1.99 €
Kostelecké Uzeniny Kostelecký uherák 0100 kg,2.49 €
Kmotr Malokarpatská saláma 490g,6.49 €
Pick Zimná saláma 400 g,8.99 €
BILLA Lovecká saláma 500g,4.99 €
BILLA Premium maďarská saláma 380g,8.29 €
Kostelecké Uzeniny Premium Kostelecký uherák 380 g,6.45 €
Kostelecké Uzeniny Premium Křemešník 380 g,6.45 €
Kmotrová vysočina 300g,3.55 €
BILLA Fuet extra 170g,3.49 €
BILLA Oravská slanina 200g,3.29 €
BILLA Anglická slanina 200g,3.29 €
Oravská slanina 200 g,2.29 €
Anglická slanina špeciál 200 g,2.79 €
Clever Anglická slanina 100g,1.29 €
Billa Slaninové Kocky 250G,2.29 €
Tauris Zipser párky originál 500 g,8.25 €
Tauris Zipser párky 165g,3.25 €
Billa Spišské Párky 250G,2.59 €
Mäsokombinát Púchov Matelkové párky 250g,2.99 €
Berto Poctivé párky 180 g,2.49 €
Berto Podracké viršle 270 g,2.49 €
DEBRECÍNSKE PÁRKY 360G GREISINGER,4.99 €
Bilbo Viedenské párky pre deti 0300 kg,3.35 €
Kostelecké Uzeniny Poctivý viedenský párok pre deti 0180 kg,3.69 €
Berger Frankfurtské párky 3 x 375g,4.99 €
Pick Frankfurtské párky 180g,2.49 €
Greisinger Mini Berner Würstel mini bravčové párky so syrom obalené v plátkoch slaniny 0250 kg,3.69 €
Greisinger Berner Würstel bravčové párky so syrom obalené v plátkoch slaniny 0300 kg,4.49 €
Clever Špekačky 600g,3.99 €
BILLA Špekačky  400g,4.29 €
PRETO Ryba Žilina Treska Exklusiv 200 g,2.59 €
PRETO Ryba Žilina Treska Exklusiv 140 g,0.85 €
Ryba Košice Treska treskoslovenská v majonéze 140 g,1.59 €
PRETO Ryba Žilina Treska Exklusiv 400 g,4.49 €
Ryba More Zdravia Treska v majonéze Exklusiv 140 g,1.59 €
Ryba Žilina Preto treska 140g,0.89 €
PRETO Ryba Žilina Treska Exklusiv feferónový šalát 145 g,1.59 €
PRETO Ryba Žilina Treska Exklusiv nepravý losos 145 g,1.59 €
PRETO Ryba Žilina Rybí šalát Exklusiv 140 g,1.49 €
Parížsky šalát 500g,3.69 €
Lahôdkový šalát 400g,2.99 €
Piknik Ruské vajce duo 240 g,2.39 €
Piknik Ruské vajce duo pikant 240 g,2.39 €
BILLA Oškvarková nátierka 140g,1.99 €
BILLA Tuniaková nátierka 140g,1.99 €
Family nátierka 160g,2.29 €
Cesnaková nátierka 160g,2.29 €
Šmak Nátierka šmak 130g,1.49 €
Šmak Nátierka vajcová 130g,1.49 €
Šmak Nátierka cesnakovo-syrová 144g,1.49 €
Mecom Francúzska nátierka 300 g,1.55 €
Tauris Miško šunková pena s pažítkou 100 g,1.19 €
Tauris Maťko šunková pena 100 g,1.19 €
Ryba Košice More Zdravia Sleďové očká v oleji s kapiou 150 g,2.99 €
Ryba Košice Sleďové očká v oleji s olivou 150 g,2.99 €
BILLA Papričky plnené ovčím syrom 140g,3.49 €
Gašparík Kačacia pečeňová paštéta 140 g,1.99 €
Gašparík Pečeňová paštéta 140 g,1.99 €
Gašparík Husacia pečeňová paštéta 140 g,1.99 €
Bravčová paštéta s brusnicami 125g,2.29 €
Paštéta z bravčovej pečene 125g,1.79 €
Gašparík Husacia pečeň v husacej masti 140 g,3.59 €
Gašparík Kačacia pečeň v kačacej masti 140 g,3.55 €
Tatrakon Tatárska zmes 110 g,1.59 €
Tatrakon Pali Pikantná pochúťka 75 g,0.89 €
Jav Škvarená bravčová masť 500 g,2.49 €
Clever Bravčová masť 250g,1.29 €
Jav Husacia masť 150 g,1.55 €
Jav Mleté bravčové oškvarky 250 g,2.59 €
