ID,name,category_ID,market_ID
1,ovocie-zelenina-103,1,1
2,pecivo-111,2,1
3,maso-ryby-117,3,1
4,udeniny-lahodky-128,4,1
5,mliecne-vyrobky-144,5,1
6,vajcia-drozdie-146,6,1
7,hotove-jedla-159,13,1
8,trvanlive-potraviny-172,6,1
9,sladkosti-181,7,1
10,slane-snacky-188,8,1
11,nealkoholicke-napoje-199,9,1
12,teple-napoje-203,10,1
13,pivo-cider-208,11,1
14,vino-sekty-215,11,1
15,alkohol-225,11,1
16,mrazene-potraviny-151,3,1
17,zmrzlina-154,3,1
18,ovocie-a-zelenina-5,1,2
19,pecivo-2,2,2
20,mliecne-vyrobky-8,5,2
21,vajcia-a-majonezy-9,6,2
22,maslo-a-tuky-10,5,2
23,natierky-a-pastety-11,4,2
24,maso-15,3,2
25,sunky-salamy-a-udeniny-16,4,2
26,konzervovane-potraviny-31,6,2
27,vegan-a-vegetarian-220,12,2
28,zdrave-potraviny-34,12,2
29,hotove-a-instantne-33,13,2
30,mrazene-potraviny-20,3,2
31,napoje-45,9,2
32,alkohol-48,11,2
33,trvanlive-potraviny-28,6,2
34,medzinarodna-kuchyna-249,0,2
35,korenie-35,6,2
36,pecenie-a-varenie-40,6,2
37,olej-a-ocot-39,6,2
38,musli-cerealie-a-kase-21,6,2
39,orechy-a-semienka-27,8,2
40,sladke-22,7,2
41,slane-a-snacky-26,8,2
42,kava-caj-42,10,2
43,dzemy-medy-sladke-natierky-44,6,2
44,starostlivost-o-dieta-57,0,2
45,zdravie-a-krasa-51,0,2
46,starostlivost-o-domacnost-190,0,2
47,domaca-lekaren-200,0,2
48,kvety-a-darceky-64,0,2
49,pre-zvierata-63,0,2
50,pecivo-1,2,3
51,ovocie-a-zelenina-4,1,3
52,mliecne-vyrobky-69,5,3
53,vajcia-8,6,3
54,maslo-a-tuky-10,5,3
55,natierky-a-pastety-11,4,3
56,maso-16,3,3
57,sunky-salamy-a-udeniny-17,4,3
58,parky-klobasy-a-ine-19,4,3
59,mrazene-potraviny-20,3,3
60,konzervovane-potraviny-31,6,3
61,hotove-a-instantne-33,13,3
62,zdrave-potraviny-229,12,3
63,alternativa-potravin-34,0,3
64,napoje-46,9,3
65,alkohol-49,11,3
66,cestoviny-ryza-a-strukoviny-28,6,3
67,omacky-38,6,3
68,korenie-35,6,3
69,varenie-a-pecenie-40,6,3
70,olej-a-ocot-39,6,3
71,cerealie-21,6,3
72,sladke-22,7,3
73,slane-a-snacky-26,8,3
74,dzemy-medy-sladke-natierky-44,6,3
75,kava-caj-a-kakao-42,10,3
76,zdravie-a-krasa-52,0,3
77,starostlivost-o-dieta-58,0,3
78,starostlivost-o-domacnost-60,0,3
79,skolske-potreby-192,0,3
80,domaca-lekaren-63,0,3
81,pre-zvierata-66,0,3